,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data,Frequency, Formatted Data
+5.00000000000E+008, -2.53257881524E+001,+5.00000000000E+008, -2.53134179564E+001,+5.00000000000E+008, -2.53033367440E+001,+5.00000000000E+008, -2.53122488534E+001,+5.00000000000E+008, -2.53103048847E+001,+5.00000000000E+008, -2.53075373717E+001,+5.00000000000E+008, -2.53133307895E+001,+5.00000000000E+008, -2.53173319062E+001,+5.00000000000E+008, -2.53142583421E+001,+5.00000000000E+008, -2.53140197798E+001
+5.05500000000E+008, -2.53563422490E+001,+5.05500000000E+008, -2.53516938455E+001,+5.05500000000E+008, -2.53359990542E+001,+5.05500000000E+008, -2.53452657970E+001,+5.05500000000E+008, -2.53391884856E+001,+5.05500000000E+008, -2.53376416254E+001,+5.05500000000E+008, -2.53375146254E+001,+5.05500000000E+008, -2.53381296255E+001,+5.05500000000E+008, -2.53365619277E+001,+5.05500000000E+008, -2.53341949071E+001
+5.11000000000E+008, -2.53713846186E+001,+5.11000000000E+008, -2.53711077565E+001,+5.11000000000E+008, -2.53709410907E+001,+5.11000000000E+008, -2.53738484230E+001,+5.11000000000E+008, -2.53627131352E+001,+5.11000000000E+008, -2.53659132339E+001,+5.11000000000E+008, -2.53618940330E+001,+5.11000000000E+008, -2.53757737059E+001,+5.11000000000E+008, -2.53658891396E+001,+5.11000000000E+008, -2.53704011417E+001
+5.16500000000E+008, -2.54053637161E+001,+5.16500000000E+008, -2.54150396828E+001,+5.16500000000E+008, -2.53987699396E+001,+5.16500000000E+008, -2.54018778711E+001,+5.16500000000E+008, -2.53991755787E+001,+5.16500000000E+008, -2.53949884188E+001,+5.16500000000E+008, -2.54071611152E+001,+5.16500000000E+008, -2.53922357220E+001,+5.16500000000E+008, -2.54011380450E+001,+5.16500000000E+008, -2.54009805558E+001
+5.22000000000E+008, -2.54356067287E+001,+5.22000000000E+008, -2.54506006865E+001,+5.22000000000E+008, -2.54447796329E+001,+5.22000000000E+008, -2.54364393134E+001,+5.22000000000E+008, -2.54351749023E+001,+5.22000000000E+008, -2.54335734696E+001,+5.22000000000E+008, -2.54329266685E+001,+5.22000000000E+008, -2.54504413584E+001,+5.22000000000E+008, -2.54366440477E+001,+5.22000000000E+008, -2.54470513242E+001
+5.27500000000E+008, -2.54595162401E+001,+5.27500000000E+008, -2.54811687042E+001,+5.27500000000E+008, -2.54746158500E+001,+5.27500000000E+008, -2.54838444051E+001,+5.27500000000E+008, -2.54772389616E+001,+5.27500000000E+008, -2.54789500650E+001,+5.27500000000E+008, -2.54703136762E+001,+5.27500000000E+008, -2.54864287214E+001,+5.27500000000E+008, -2.54868346083E+001,+5.27500000000E+008, -2.54789758597E+001
+5.33000000000E+008, -2.54922558338E+001,+5.33000000000E+008, -2.55167114770E+001,+5.33000000000E+008, -2.55128792343E+001,+5.33000000000E+008, -2.55164154487E+001,+5.33000000000E+008, -2.55081665501E+001,+5.33000000000E+008, -2.55082530712E+001,+5.33000000000E+008, -2.55045387673E+001,+5.33000000000E+008, -2.55102090292E+001,+5.33000000000E+008, -2.55094361505E+001,+5.33000000000E+008, -2.55139103731E+001
+5.38500000000E+008, -2.55306800656E+001,+5.38500000000E+008, -2.55569034074E+001,+5.38500000000E+008, -2.55361424499E+001,+5.38500000000E+008, -2.55505353695E+001,+5.38500000000E+008, -2.55413243679E+001,+5.38500000000E+008, -2.55515720800E+001,+5.38500000000E+008, -2.55320095394E+001,+5.38500000000E+008, -2.55663394614E+001,+5.38500000000E+008, -2.55525072469E+001,+5.38500000000E+008, -2.55453872489E+001
+5.44000000000E+008, -2.55607129136E+001,+5.44000000000E+008, -2.55865749344E+001,+5.44000000000E+008, -2.55742607342E+001,+5.44000000000E+008, -2.55812157135E+001,+5.44000000000E+008, -2.55735529116E+001,+5.44000000000E+008, -2.55767076377E+001,+5.44000000000E+008, -2.55844598946E+001,+5.44000000000E+008, -2.55900520752E+001,+5.44000000000E+008, -2.55889865602E+001,+5.44000000000E+008, -2.55881563919E+001
+5.49500000000E+008, -2.55898584044E+001,+5.49500000000E+008, -2.56317715976E+001,+5.49500000000E+008, -2.56204497136E+001,+5.49500000000E+008, -2.56168764695E+001,+5.49500000000E+008, -2.56138634465E+001,+5.49500000000E+008, -2.56216949949E+001,+5.49500000000E+008, -2.56292451635E+001,+5.49500000000E+008, -2.56408508403E+001,+5.49500000000E+008, -2.56186951351E+001,+5.49500000000E+008, -2.56215953619E+001
